,book_id,title,category,char_type,aozora_url,author_id,author_role,publisher,date_published,book_url,char_count,book_type,year_pub
14212,3923,父の手帳,NDC 914,新字新仮名,https://www.aozora.gr.jp/cards/000311/card3923.html,311,著者,新日本出版社,1981（昭和56）年3月20日,https://www.aozora.gr.jp/cards/000311/files/3923_12711.html,6454.0,short,1981.0
14213,2814,地の塩文学の塩,NDC 914,新字新仮名,https://www.aozora.gr.jp/cards/000311/card2814.html,311,著者,新日本出版社,1980（昭和55）年1月20日,https://www.aozora.gr.jp/cards/000311/files/2814_8873.html,3836.0,shortshort,1980.0
14214,2030,地は饒なり,NDC 913,新字新仮名,https://www.aozora.gr.jp/cards/000311/card2030.html,311,著者,新日本出版社,1979（昭和54）年4月20日,https://www.aozora.gr.jp/cards/000311/files/2030_49542.html,29895.0,novel,1979.0
14215,4213,「乳房」創作メモ,NDC 914,新字新仮名,https://www.aozora.gr.jp/cards/000311/card4213.html,311,著者,新日本出版社,1981（昭和56）年5月30日,https://www.aozora.gr.jp/cards/000311/files/4213_14792.html,5848.0,short,1981.0
14216,3486,地方文化・文学運動にのぞむもの,NDC 914,新字新仮名,https://www.aozora.gr.jp/cards/000311/card3486.html,311,著者,新日本出版社,1980（昭和55）年6月20日,https://www.aozora.gr.jp/cards/000311/files/3486_12392.html,244.0,flash,1980.0
14217,3859,茶色っぽい町,NDC 914,新字新仮名,https://www.aozora.gr.jp/cards/000311/card3859.html,311,著者,新日本出版社,1981（昭和56）年3月20日,https://www.aozora.gr.jp/cards/000311/files/3859_12709.html,4172.0,short,1981.0
14218,3493,「チャタレー夫人の恋人」の起訴につよく抗議する,NDC 326 914,新字新仮名,https://www.aozora.gr.jp/cards/000311/card3493.html,311,著者,新日本出版社,1980（昭和55）年6月20日,https://www.aozora.gr.jp/cards/000311/files/3493_12399.html,1793.0,flash,1980.0
14219,2779,中国に於ける二人のアメリカ婦人,NDC 930,新字新仮名,https://www.aozora.gr.jp/cards/000311/card2779.html,311,著者,新日本出版社,1980（昭和55）年1月20日,https://www.aozora.gr.jp/cards/000311/files/2779_8803.html,8072.0,short,1980.0
14220,4638,中条精一郎の「家信抄」まえがきおよび註,NDC 289,新字新仮名,https://www.aozora.gr.jp/cards/000311/card4638.html,311,著者,新日本出版社,1981（昭和56）年7月30日,https://www.aozora.gr.jp/cards/000311/files/4638_35913.html,8000.0,short,1981.0
14221,2961,春桃,NDC 901,新字新仮名,https://www.aozora.gr.jp/cards/000311/card2961.html,311,著者,新日本出版社,1979（昭和54）年11月20日,https://www.aozora.gr.jp/cards/000311/files/2961_10039.html,11117.0,short,1979.0
14222,3488,長寿恥あり,NDC 914,新字新仮名,https://www.aozora.gr.jp/cards/000311/card3488.html,311,著者,新日本出版社,1980（昭和55）年6月20日,https://www.aozora.gr.jp/cards/000311/files/3488_12394.html,601.0,flash,1980.0
14223,2910,『長女』について,NDC 914,新字新仮名,https://www.aozora.gr.jp/cards/000311/card2910.html,311,著者,新日本出版社,1980（昭和55）年4月20日,https://www.aozora.gr.jp/cards/000311/files/2910_9178.html,715.0,flash,1980.0
14224,2766,長篇作家としてのマクシム・ゴーリキイ,NDC 980,新字新仮名,https://www.aozora.gr.jp/cards/000311/card2766.html,311,著者,新日本出版社,1980（昭和55）年1月20日,https://www.aozora.gr.jp/cards/000311/files/2766_8777.html,1922.0,flash,1980.0
14225,15945,千世子,NDC 913,新字新仮名,https://www.aozora.gr.jp/cards/000311/card15945.html,311,著者,新日本出版社,1981（昭和56）年11月25日,https://www.aozora.gr.jp/cards/000311/files/15945_31496.html,85679.0,novel,1981.0
14226,15947,千世子（三）,NDC 913,新字新仮名,https://www.aozora.gr.jp/cards/000311/card15947.html,311,著者,新日本出版社,1981（昭和56）年11月25日,https://www.aozora.gr.jp/cards/000311/files/15947_31498.html,28569.0,novel,1981.0
14227,15946,千世子（二）,NDC 913,新字新仮名,https://www.aozora.gr.jp/cards/000311/card15946.html,311,著者,新日本出版社,1981（昭和56）年11月25日,https://www.aozora.gr.jp/cards/000311/files/15946_31497.html,16408.0,novelette,1981.0
14228,4112,著者の言葉（『新しきシベリアを横切る』）,NDC 914,新字新仮名,https://www.aozora.gr.jp/cards/000311/card4112.html,311,著者,新日本出版社,1981（昭和56）年5月30日,https://www.aozora.gr.jp/cards/000311/files/4112_14722.html,994.0,flash,1981.0
14229,7912,追憶,NDC 913,新字新仮名,https://www.aozora.gr.jp/cards/000311/card7912.html,311,著者,新日本出版社,1981（昭和56）年12月25日初版,https://www.aozora.gr.jp/cards/000311/files/7912_32318.html,17808.0,novelette,1981.0
14230,3715,追想,NDC 914,新字新仮名,https://www.aozora.gr.jp/cards/000311/card3715.html,311,著者,新日本出版社,1981（昭和56）年3月20日,https://www.aozora.gr.jp/cards/000311/files/3715_13063.html,3665.0,shortshort,1981.0
14231,3686,追慕,NDC 914,新字新仮名,https://www.aozora.gr.jp/cards/000311/card3686.html,311,著者,新日本出版社,1981（昭和56）年3月20日,https://www.aozora.gr.jp/cards/000311/files/3686_13062.html,2431.0,shortshort,1981.0
14232,2033,津軽の虫の巣,NDC 913,新字新仮名,https://www.aozora.gr.jp/cards/000311/card2033.html,311,著者,新日本出版社,1979（昭和54）年4月20日,https://www.aozora.gr.jp/cards/000311/files/2033.html,5878.0,short,1979.0
14233,2799,次が待たれるおくりもの,NDC 914,新字新仮名,https://www.aozora.gr.jp/cards/000311/card2799.html,311,著者,新日本出版社,1980（昭和55）年1月20日,https://www.aozora.gr.jp/cards/000311/files/2799_8843.html,1133.0,flash,1980.0
14234,1997,築地河岸,NDC 913,新字新仮名,https://www.aozora.gr.jp/cards/000311/card1997.html,311,著者,新日本出版社,1979（昭和54）年12月20日,https://www.aozora.gr.jp/cards/000311/files/1997_6531.html,8020.0,short,1979.0
14235,3962,机の上のもの,NDC 914,新字新仮名,https://www.aozora.gr.jp/cards/000311/card3962.html,311,著者,新日本出版社,1981（昭和56）年3月20日,https://www.aozora.gr.jp/cards/000311/files/3962_13064.html,657.0,flash,1981.0
14236,2796,「土」と当時の写実文学,NDC 901,新字新仮名,https://www.aozora.gr.jp/cards/000311/card2796.html,311,著者,新日本出版社,1980（昭和55）年1月20日,https://www.aozora.gr.jp/cards/000311/files/2796_8837.html,1563.0,flash,1980.0
